Age,M,F
0-4,48889934,43295496
5-9,49365101,44046101
10-14,66860425,62121134
15-19,55634590,52402660
20-24,49634510,46895957
25-29,61063276,57772446
30-34,66158852,63682441
35-39,56217682,53698602
40-44,44593435,42432435
45-49,45430388,43463280
50-54,33699313,32455798
55-59,24643948,22970384
60-64,21635241,19909745
65-69,17971886,17457915
70-74,12455752,12970691
75-79,7134153,8685509
80-84,3674183,5229171
85-89,1320564,2247517
90-94,267409,604995
95-99,30862,96051
100+,1838,8077
